,mean,std
2964,2.093023256,0.315245215
2965,3.96875,0.567664522
2966,1.25,0.042548653
2967,1.625,0.083534792
2968,1.714285714,0.078760004
2969,1,0.032161973
2970,1.761904762,0.156526505
2971,3.181818182,0.262745461
2972,3.5625,0.420839165
2973,1.5625,0.116953087
2974,2.916666667,0.211427901
2975,3.222222222,0.205277442
2976,1.583333333,0.095058532
2977,4.333333333,0.426869445
2978,3.75,0.314658613
2979,1.166666667,0.048233929
2980,2.5625,0.241106285
2981,1.125,0.053311349
2982,1.285714286,0.05796406
2983,1.2,0.045480951
2984,3.733333333,0.358755073
2985,1.875,0.102948702
2986,2.375,0.404051361
2987,5.888888889,0.413427503
2988,14.30769231,2.406902032
2989,1.826086957,0.187316817
2990,2.533333333,0.216833755
2991,6.827586207,1.287934753
2992,2.888888889,0.421189969
2993,5.333333333,0.292159571
2994,1.222222222,0.062248567
2995,1.526315789,0.123356179
2996,2.333333333,0.08358291
2997,3,0.153386013
2998,1.571428571,0.070073881
2999,1.6,0.071923811
3000,2.785714286,0.373336351
3001,8.9,0.739574974
3002,2.5,0.132574864
3003,3.333333333,0.349204222
3004,3.083333333,0.528702569
3005,1.571428571,0.104115058
3006,1.6,0.104188406
3007,1.25,0.042548653
3008,3,0.264082317
3009,3.090909091,0.305146447
3010,1.333333333,0.055696546
3011,2.25,0.100450747
3012,3.975,0.777707725
3013,2.25,0.080412849
3014,1.666666667,0.078778721
3015,7.055555556,1.082038032
3016,6.333333333,0.274419138
3017,5,0.199596054
3018,2.914285714,0.414376251
3019,3.25,0.163254066
3020,4,0.223945119
3021,4.535714286,0.800405144
3022,3,0.071936854
3023,2.777777778,0.188209411
3024,2.266666667,0.264767323
3025,2.714285714,0.164793071
3026,2.5,0.115992842
3027,1.375,0.077109101
3028,4,0.379823803
3029,4,0.399024205
3030,2,0.096485918
3031,2.333333333,0.301632963
3032,6.571428571,0.439286197
3033,2.142857143,0.117067627
3034,1.571428571,0.073675512
3035,4.605633803,1.477707302
3036,9.666666667,1.501001976
3037,1.5,0.14349594
3038,5.666666667,0.368898547
3039,2.2,0.095143089
3040,2.428571429,0.226225629
3041,5.166666667,0.250679238
3042,1.857142857,0.119274114
3043,3.823529412,0.334373931
3044,2.5,0.269875397
3045,6.166666667,0.349788447
3046,1.666666667,0.048250598
3047,1.333333333,0.060165086
3048,3.153846154,0.330738177
3049,1.375,0.066276817
3050,2,0.032174472
3051,4.777777778,0.491849531
3052,4.444444444,0.365332346
3053,5.5,0.29785587
3054,3.807017544,0.654107524
3055,2.357142857,0.236856459
3056,1.4,0.057982554
3057,2.625,0.189612354
3058,3.1,0.215110775
3059,1.25,0.042548653
3060,9.8,0.410318144
3061,2,0.032174472
3062,1.714285714,0.132530376
3063,5.469387755,1.307241742
3064,7.25,0.51463922
3065,1,0.032161973
3066,1.857142857,0.089518301
3067,4.6,0.527221098
3068,2.076923077,0.172397093
3069,7.2,0.458380279
3070,5.333333333,0.2632632
3071,1,0.022747841
3072,3.272727273,0.229612392
3073,3.571428571,0.390657092
3074,6.774193548,1.323690822
3075,3.433333333,0.413421505
3076,3.6,0.394730756
3077,2,0.124497134
3078,4.785714286,0.747389615
3079,1.5,0.089497338
3080,4.8,0.271070826
3081,2.85,0.468019147
3082,1.111111111,0.055674885
3083,1.5,0.055713388
3084,4.25,0.32246974
3085,6.3,0.682606765
3086,2.166666667,0.147307359
3087,1.166666667,0.048233929
3088,1.555555556,0.088050274
3089,1,0.039380002
3090,2.363636364,0.14905432
3091,1.142857143,0.071834312
3092,3.2,0.142036636
3093,1.769230769,0.149953017
3094,3.772727273,0.395161216
3095,2.857142857,0.15423645
3096,1.333333333,0.055696546
3097,1.105263158,0.080262706
3098,2.583333333,0.183975731
3099,1.666666667,0.078778721
3100,3.181818182,0.25474167
3101,3.5,0.342809183
3102,1,0.039380002
3103,2.777777778,0.178321777
3104,2.272727273,0.146437732
3105,2.625,0.166340397
3106,2.636363636,0.172375324
3107,1.666666667,0.053346533
3108,1.714285714,0.093764599
3109,2.727272727,0.256303913
3110,1.4,0.057982554
3111,2.95,0.304466231
3112,1.875,0.165467529
3113,1.333333333,0.068190478
3114,1.666666667,0.095106457
3115,2.4,0.120361354
3116,2.285714286,0.111393092
3117,1,0.035953519
3118,1.5,0.073693701
3119,1.875,0.145487852
3120,2.666666667,0.088100489
3121,1.2,0.078683392
3122,1.363636364,0.083512328
3123,1.235294118,0.089416436
3124,1.166666667,0.048233929
3125,2.785714286,0.262707711
3126,1.5,0.050855179
3127,2,0.060180677
3128,1.333333333,0.039397015
3129,4.5,0.409461144
3130,2.5,0.088086797
3131,1.5,0.075401631
3132,2.833333333,0.155097347
3133,1.875,0.123523383
3134,4,0.113749811
3135,1.666666667,0.078778721
3136,1.666666667,0.088086797
3137,4.545454545,0.519202288
3138,1.25,0.042548653
3139,1.25,0.042548653
3140,1.25,0.042548653
3141,3.666666667,0.194324539
3142,1.714285714,0.078760004
3143,1.555555556,0.088050274
3144,5.125,0.407845925
3145,2.4,0.132639548
3146,3.242424242,0.392142684
3147,1.9,0.102904429
3148,1.363636364,0.086556578
3149,1.2,0.06428226
3150,2.375,0.319212319
3151,2.5,0.12861038
3152,6.571428571,0.583546123
3153,1.923076923,0.146437732
3154,3.263157895,0.304000813
3155,1.307692308,0.089473375
3156,2,0.08507998
3157,2.363636364,0.160752346
3158,2.25,0.124540187
3159,1.3125,0.089416436
3160,2.571428571,0.13259407
3161,5.454545455,0.4167935
3162,2.230769231,0.300628892
3163,2.470588235,0.339611692
3164,2.5,0.153345814
3165,14.92857143,2.016864727
3166,2.75,0.131665959
3167,1.454545455,0.099094699
3168,1.625,0.095126184
3169,2.695652174,0.31569724
3170,2.846153846,0.309727716
3171,3.571428571,0.218742676
3172,3.333333333,0.214517755
3173,12.4375,1.127716456
3174,3,0.16868185
3175,8.375,1.058542845
